Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
DEMO4543231,239056645292,06/30/2025 06:00:22,2025-06-30,-0.19,"49,966.09", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645293,06/30/2025 06:00:22,2025-06-30,-0.02,"49,966.07", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645294,06/30/2025 06:00:22,2025-06-30,-0.35,"49,965.72", Commission,USD,MGCQ5
DEMO4543231,239056645297,06/30/2025 06:00:22,2025-06-30,-2.00,"49,963.72", Trade Paired,USD,MGCQ5
DEMO4543231,239056645302,06/30/2025 07:30:07,2025-06-30,-0.50,"49,963.22", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645303,06/30/2025 07:30:07,2025-06-30,-0.19,"49,963.03", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645304,06/30/2025 07:30:07,2025-06-30,-0.02,"49,963.01", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645305,06/30/2025 07:30:07,2025-06-30,-0.35,"49,962.66", Commission,USD,MGCQ5
DEMO4543231,239056645311,06/30/2025 07:30:09,2025-06-30,-0.35,"49,962.31", Exchange Fee,USD,MESU5
DEMO4543231,239056645312,06/30/2025 07:30:09,2025-06-30,-0.19,"49,962.12", Clearing Fee,USD,MESU5
DEMO4543231,239056645313,06/30/2025 07:30:09,2025-06-30,-0.02,"49,962.10", Nfa Fee,USD,MESU5
DEMO4543231,239056645314,06/30/2025 07:30:09,2025-06-30,-0.35,"49,961.75", Commission,USD,MESU5
DEMO4543231,239056645320,06/30/2025 07:30:12,2025-06-30,-0.50,"49,961.25", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645321,06/30/2025 07:30:12,2025-06-30,-0.19,"49,961.06", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645322,06/30/2025 07:30:12,2025-06-30,-0.02,"49,961.04", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645323,06/30/2025 07:30:12,2025-06-30,-0.35,"49,960.69", Commission,USD,MGCQ5
DEMO4543231,239056645326,06/30/2025 07:30:12,2025-06-30,-2.00,"49,958.69", Trade Paired,USD,MGCQ5
DEMO4543231,239056645331,06/30/2025 07:51:16,2025-06-30,-0.35,"49,958.34", Exchange Fee,USD,MESU5
DEMO4543231,239056645332,06/30/2025 07:51:16,2025-06-30,-0.19,"49,958.15", Clearing Fee,USD,MESU5
DEMO4543231,239056645333,06/30/2025 07:51:16,2025-06-30,-0.02,"49,958.13", Nfa Fee,USD,MESU5
DEMO4543231,239056645334,06/30/2025 07:51:16,2025-06-30,-0.35,"49,957.78", Commission,USD,MESU5
DEMO4543231,239056645337,06/30/2025 07:51:16,2025-06-30,1.25,"49,959.03", Trade Paired,USD,MESU5
DEMO4543231,239056645342,06/30/2025 08:30:00,2025-06-30,-0.35,"49,958.68", Exchange Fee,USD,MESU5
DEMO4543231,239056645343,06/30/2025 08:30:00,2025-06-30,-0.19,"49,958.49", Clearing Fee,USD,MESU5
DEMO4543231,239056645344,06/30/2025 08:30:00,2025-06-30,-0.02,"49,958.47", Nfa Fee,USD,MESU5
DEMO4543231,239056645345,06/30/2025 08:30:00,2025-06-30,-0.35,"49,958.12", Commission,USD,MESU5
DEMO4543231,239056645351,06/30/2025 08:32:11,2025-06-30,-0.35,"49,957.77", Exchange Fee,USD,MESU5
DEMO4543231,239056645352,06/30/2025 08:32:11,2025-06-30,-0.19,"49,957.58", Clearing Fee,USD,MESU5
DEMO4543231,239056645353,06/30/2025 08:32:11,2025-06-30,-0.02,"49,957.56", Nfa Fee,USD,MESU5
DEMO4543231,239056645354,06/30/2025 08:32:11,2025-06-30,-0.35,"49,957.21", Commission,USD,MESU5
DEMO4543231,239056645357,06/30/2025 08:32:11,2025-06-30,2.50,"49,959.71", Trade Paired,USD,MESU5
DEMO4543231,239056645362,06/30/2025 08:45:03,2025-06-30,-0.35,"49,959.36", Exchange Fee,USD,MESU5
DEMO4543231,239056645363,06/30/2025 08:45:03,2025-06-30,-0.19,"49,959.17", Clearing Fee,USD,MESU5
DEMO4543231,239056645364,06/30/2025 08:45:03,2025-06-30,-0.02,"49,959.15", Nfa Fee,USD,MESU5
DEMO4543231,239056645365,06/30/2025 08:45:03,2025-06-30,-0.35,"49,958.80", Commission,USD,MESU5
DEMO4543231,239056645371,06/30/2025 08:45:58,2025-06-30,-0.35,"49,958.45", Exchange Fee,USD,MESU5
DEMO4543231,239056645372,06/30/2025 08:45:58,2025-06-30,-0.19,"49,958.26", Clearing Fee,USD,MESU5
DEMO4543231,239056645373,06/30/2025 08:45:58,2025-06-30,-0.02,"49,958.24", Nfa Fee,USD,MESU5
DEMO4543231,239056645374,06/30/2025 08:45:58,2025-06-30,-0.35,"49,957.89", Commission,USD,MESU5
